Дата;Количество звезд;Комментарий;Лайки;Дизлайки
2022-09-07 10:10:47;5;Тушь замечательная, цена отличная.  Раньше в магазине брала,  заказала тут,  я довольна!!!;0;0
2022-09-07 08:28:48;3;Всегда покупала такую же тушь в Летуале и была в восторге. Решила купить на валдберис . Тушь была открыта и по качеству не плохая подделка.;1;1
2022-09-07 06:28:55;5;Суперская тушь. Всегда покупаю её.;2;2
2022-09-07 05:25:35;5;Мне понравилась тушь, продержалась весь день;0;0
2022-09-07 04:54:01;5;Тушь классная.;0;0
2022-09-07 04:28:50;5;Тушь хорошая, не остаётся, не склеивает ресницы... мне понравилась.;0;0
2022-09-07 00:03:55;5;Тушь лучшая,весь день держит ресницы, хотя они растут у меня вниз;0;0
2022-09-06 21:57:22;5;Я в восторге от этой туши.всегда не любила такие кисточки а зря.ресницы прям веер;2;0
2022-09-06 21:10:38;5;Прекрасно ложится, хорошо удлиняет ресницы.;0;0
2022-09-06 20:43:16;5;Лучшая из всех тушей. Пользуюсь давно.;5;1
2022-09-06 20:37:38;5;Отлично удлиняет ресницы👍;0;0
2022-09-06 19:30:19;5;туш очень хорошая;0;1
2022-09-06 18:05:57;5;Тушь классная👍;0;0
2022-09-06 18:01:19;5;Тушь отличная!;0;0
2022-09-06 17:53:33;5;Хорошее качество,много лет пользуюсь!;0;0
2022-09-06 17:46:55;5;Пока нравится;0;0
2022-09-06 17:37:43;5;Хорошая тушь, единственное мицеляркой плохо стирается;0;0
2022-09-06 17:22:19;1;ОТВРАТИТЕЛЬНО! Пришла открытая! ВСЯ ТУШЬ ВЫСОХЛА!!!!!!!!!! Не СОВЕТУЮ ЭТОГО ПОСТАВЩИКА!!!!!!!!;0;0
2022-09-06 17:00:24;5;Тушь супер;0;0
2022-09-06 15:33:53;5;Достаточно давно пользуюсь этой тушью.Качество хорошее, срок годности выдержан. Рекомендую товар к покупке.;0;0
2022-09-06 15:23:22;5;первый раз пробую, очень понравилась тушь. товар пришел хорошо упакован. рекомендую!;1;0
2022-09-06 15:08:02;5;хорошая тушь. в магазине стоит намного дороже, а по факту можно купить дешевле такую же;0;0
2022-09-06 13:59:28;5;Любимая тушь, качественная;0;0
2022-09-06 13:58:15;5;Хорошая тушь;0;0
2022-09-06 12:43:05;5;вваааааааааа;0;0
2022-09-06 10:35:12;1;Пришла открытая!!! Туши все всегда упакованы в пленку. Я думаю, что это подделка.;0;0
